Date,sst,region
2012-05-27,29.11903506654081,pipa
2012-05-28,29.11975585844619,pipa
2012-05-29,29.123843857685294,pipa
2012-05-30,29.182383251757734,pipa
2012-05-31,29.158360439849893,pipa
2012-06-01,29.00627034817791,pipa
2012-06-02,28.772293335674526,pipa
2012-06-03,28.711120256359614,pipa
2012-06-04,29.067093054732528,pipa
2012-06-05,29.088264524483655,pipa
2012-06-06,28.82561247558219,pipa
2012-06-07,28.630401586151898,pipa
2012-06-08,28.561240973639745,pipa
2012-06-09,28.66118427309907,pipa
2012-06-10,28.675259907962246,pipa
2012-06-11,28.858034503193547,pipa
2012-06-12,28.730671919697397,pipa
2012-06-13,28.522650000365804,pipa
2012-06-14,28.63626054447152,pipa
2012-06-15,28.553106092198753,pipa
2012-06-16,28.44631614758235,pipa
